replicate,K,p_value_K,lambda,logL,p_value_lambda
27,0.00643156543954067,0.03,0.6402260566477386,1037.4855997420211,1.4628604437116407e-10
28,0.00669395483958051,0.02,0.681925384972266,990.5004192380134,2.6936654414355533e-12
29,0.00683078302188838,0.02,0.5721252261807608,1021.852527019994,1.2225149921010551e-9
30,0.00720913597748095,0.02,0.748978368674753,1004.5861230214964,2.1833317026731155e-15
31,0.00788013494858989,0.01,0.7969483289217755,1047.3487877138332,3.6513805757508e-18
32,0.00702647861390881,0.01,0.71108850986623,1028.3974264937056,9.108406584472207e-14
33,0.0078348161492048,0.01,0.7708921582564601,1021.6326620467972,5.842800378463346e-17
34,0.00613381356968552,0.04,0.6167728781389243,965.3587802499516,1.8409328395926812e-10
35,0.00622172767791075,0.04,0.687303960569628,979.4598819683396,7.86746110983994e-12
36,0.00684410572846363,0.02,0.7238772588936961,1020.7031620752432,2.1622530916657075e-14
37,0.00636400323759317,0.02,0.7203740657596837,1048.6396531710334,3.860305770311323e-12
38,0.00741750047719571,0.01,0.7157937317083726,1079.500757961422,3.4434963226400095e-16
39,0.0066335727270242,0.01,0.7174835947836283,1017.5782069199277,3.823777436174655e-13
40,0.0076642772966312,0.02,0.660137227018557,992.735128875362,2.1736749581593752e-9
41,0.00730810341544294,0.02,0.7039197694404841,1020.7641244485608,3.106143615231655e-11
42,0.00729286628924878,0.02,0.6766897661332302,1053.7359833112273,1.679874989448156e-13
43,0.00529304171991127,0.07,0.6321390258834936,1045.2487986439137,1.2658034389367502e-11
44,0.00666959424046732,0.02,0.6654315856859826,989.0624070654158,1.5619599495428485e-12
45,0.00533092235762094,0.06,0.588339605561469,1002.5649018843864,6.325685734396587e-8
46,0.00607675094167769,0.05,0.390862887535677,1061.7310571052326,4.2978354681102214e-8
47,0.00726720088677389,0.02,0.7289492846155515,1060.0032951537478,6.756770215332214e-12
48,0.00671495940624399,0.01,0.35510656102064614,1030.7769092865517,3.0405879789958683e-9
49,0.00675991603756826,0.02,0.6620986885445893,1040.8342360433735,9.493954500036983e-12
50,0.0073406646030081,0.02,0.7650044167724652,1061.1465016190637,1.326759478737337e-17
51,0.00609676694513861,0.04,0.6753052893528503,1024.526191606914,3.257106793984882e-10
52,0.00766954236202322,0.01,0.7885737590399382,1032.4267659368884,1.009375617834161e-15
53,0.00634846786132702,0.02,0.7457349398570564,1063.0856527010196,1.2983144329056952e-12
54,0.00648545716785846,0.04,0.5434160574142095,998.6196384104096,3.6314281676177174e-8
55,0.00708048937861784,0.02,0.7316191842008757,1038.5868914361936,4.9128153812620505e-14
56,0.00731864228202716,0.01,0.6883092380232879,1049.8660518155366,1.698300330809913e-13
57,0.00846445662567212,0.02,0.730868153347329,1005.3998152143954,1.1185501849215745e-12
58,0.00648308728027324,0.02,0.7403254264495568,1002.052391345616,7.250951986271361e-14
59,0.00580095175546842,0.07,0.6635138528971278,1053.2481123164384,2.717759444034547e-12
60,0.00535248712409605,0.07,0.6759726016974147,1004.7205309052192,1.593650123085253e-12
61,0.00767816234412823,0.01,0.7828368047512092,1000.983699359646,7.007057200802276e-17
62,0.00619401707566224,0.03,0.5645256454066088,980.0367672466808,1.0849839028179088e-8
63,0.0074953868411724,0.01,0.7520142069417489,1023.8422683901836,7.882478167012627e-15
