replicate,K,p_value_K,lambda,logL,p_value_lambda
51,0.013002965196898825,0.49000000000000027,7.331374358574057e-5,86.29331768380939,1
52,0.01294726549828261,0.4300000000000002,7.331374358574057e-5,88.67155239110866,1
53,0.012897789431260418,0.5100000000000002,7.331374358574057e-5,88.38363853278372,1
54,0.013225707012436343,0.4000000000000002,7.331374358574057e-5,82.66705395184863,1
55,0.012924688111873152,0.5100000000000002,7.331374358574057e-5,87.20160967187769,1
56,0.012579340249089499,0.5500000000000003,7.331374358574057e-5,98.56399722743947,1
57,0.012577385002910405,0.5100000000000002,7.331374358574057e-5,98.61889651111858,1
58,0.012943878460371533,0.5000000000000002,7.331374358574057e-5,88.72297431506865,1
59,0.014798753387110624,0.3200000000000001,7.331374358574057e-5,87.45888343447064,1
60,0.01264374780483214,0.48000000000000026,7.331374358574057e-5,96.44637688036721,1
61,0.012566884711910135,0.5700000000000003,7.331374358574057e-5,98.39257072895964,1
62,0.012914867546275249,0.48000000000000026,7.331374358574057e-5,88.79463237289531,1
63,0.012527979598561808,0.5300000000000002,7.331374358574057e-5,98.41951743109075,1
64,0.012558729119210967,0.5800000000000003,7.331374358574057e-5,98.48950325563953,1
65,0.013210032516281013,0.4200000000000002,7.331374358574057e-5,83.1243590365383,1
66,0.012566618512247371,0.5100000000000002,7.331374358574057e-5,98.82293764464623,1
67,0.012814586378629445,0.4000000000000002,7.331374358574057e-5,92.61669239844946,1
68,0.01256376212065436,0.47000000000000025,7.331374358574057e-5,98.58329023611554,1
69,0.012587786282212868,0.5100000000000002,7.331374358574057e-5,98.31178734034427,1
70,0.012980407882360644,0.4200000000000002,7.331374358574057e-5,87.24784687198644,1
71,0.012545349744283722,0.5300000000000002,7.331374358574057e-5,98.02125874567798,1
72,0.012757232840077884,0.49000000000000027,7.331374358574057e-5,95.00044063669111,1
73,0.014833622700609294,0.3300000000000001,7.331374358574057e-5,88.3322263038234,1
74,0.012576207890087409,0.5300000000000002,7.331374358574057e-5,98.63641354334845,1
75,0.012927503624321551,0.5300000000000002,7.331374358574057e-5,88.55735383138233,1
76,0.012594023573101168,0.5100000000000002,7.331374358574057e-5,98.15210366050292,1
77,0.012598079029222279,0.5200000000000002,7.331374358574057e-5,98.06783812396793,1
78,0.012605758497850507,0.5400000000000003,7.331374358574057e-5,97.88277790556504,1
79,0.01258732307051929,0.48000000000000026,7.331374358574057e-5,97.1887350843125,1
80,0.012588285885122771,0.5700000000000003,7.331374358574057e-5,98.31728498325106,1
81,0.012564574624886075,0.5200000000000002,7.331374358574057e-5,98.94099196142884,1
82,0.012570128069113005,0.5400000000000003,7.331374358574057e-5,98.59735084954889,1
83,0.012549916675922234,0.5300000000000002,7.331374358574057e-5,97.9533874970856,1
84,0.0125575068919125,0.5400000000000003,7.331374358574057e-5,98.83922445137023,1
85,0.012607452994922703,0.5400000000000003,7.331374358574057e-5,98.00458380752434,1
86,0.01255511092093952,0.5200000000000002,7.331374358574057e-5,98.73199157787894,1
87,0.012806249753737356,0.6000000000000003,7.331374358574057e-5,87.61337038010424,1
88,0.012673845787984968,0.47000000000000025,7.331374358574057e-5,95.11742540673879,1
89,0.012914335323871729,0.48000000000000026,7.331374358574057e-5,88.72930957827566,1
90,0.012569518135406401,0.46000000000000024,7.331374358574057e-5,98.6581024847909,1
91,0.012663405890706811,0.5500000000000003,7.331374358574057e-5,96.3107274658297,1
92,0.012583922635535184,0.5100000000000002,7.331374358574057e-5,98.42399635964637,1
93,0.012951963495413379,0.46000000000000024,7.331374358574057e-5,88.5295655949617,1
94,0.012443520760943185,0.49000000000000027,7.331374358574057e-5,98.07002478829202,1
95,0.01295937792048534,0.5700000000000003,7.331374358574057e-5,87.7196017048766,1
96,0.012584761302278763,0.48000000000000026,7.331374358574057e-5,98.4607450138758,1
97,0.012594846396547512,0.5900000000000003,7.331374358574057e-5,97.92525002817308,1
98,0.012548004216258303,0.5100000000000002,7.331374358574057e-5,98.68857498336047,1
99,0.012507199240788292,0.5200000000000002,7.331374358574057e-5,90.00497903152723,1
100,0.012472231231741024,0.5400000000000003,7.331374358574057e-5,97.26643137311692,1
