Species,rates
Ludovia,0.010507747790919628
Thoracocarpus,0.009784948488761502
Carludovica,0.010844946553101064
Chorigyne,0.012718215321622692
Freycinetia,0.009992965066407122
Pandanus,0.0095296399698693891
Lophiola,0.003887550074642367
Narthecium,0.0041977176628882
Aletris,0.006720329047008688
Campylosiphon,0.006059902245208044
Gymnosiphon,0.004737010940612939
Burmannia,0.003243039375148805
Dioscorea,0.00841438743402583
Trichopus,0.005892330884603966
Trichopodium,0.0056074443900370466
Tacca,0.007697231028694541
Stenomeris,0.006153216302690528
Rajania,0.005700978954987044
Arachnitis,0.0061178881199709205
Campynema,0.005136204049998115
Campynemanthe,0.004529812704176516
Petermannia,0.009345760531537328
Zigadenus,0.012004766552653758
Schoenocaulon,0.014821417066852065
Anticlea,0.010405767337454443
Stenanthium,0.009307268647548364
Toxicoscordion,0.017245816790969707
Amianthium,0.01582215344757004
Veratrum,0.01214682707723605
Melanthium,0.011932513984400355
Helonias,0.013268074048640449
Chamaelirium,0.011091836467276286
Chionographis,0.009342354546035873
Ypsilandra,0.012524518696450484
Heloniopsis,0.00824077149216606
Xerophyllum,0.013702239465891376
Trillium,0.012792695455580956
Pseudotrillium,0.01213380866854006
Paris,0.010117692395232532
Luzuriaga,0.006673932411042172
Drymophila,0.004223218937496778
Alstroemeria,0.004253626064470374
Bomarea,0.005497017402062672
Prosartes,0.010185008685992225
Burchardia,0.010361677929517355
Disporum,0.00869653330599405
Uvularia,0.007674639724632909
Schelhammera,0.014184375735979157
Tripladenia,0.01267866688338377
Ornithoglossum,0.027455679608366656
Hexacyrtis,0.01784622414210869
Androcymbium,0.012491836364477073
Colchicum,0.017239778344840317
Iphigenia,0.024389880597772782
Baeometra,0.012268403363938828
Wurmbea,0.014133645457376746
Smilax,0.009348304653734176
Rhipogonum,0.00872226624370264
Philesia,0.0071987569178842145
Lapageria,0.0076547167160850756
Tricyrtis,0.007607043541213719
Calochortus,0.007255930998888917
Streptopus,0.014203169659535862
Medeola,0.010881112978025348
Clintonia,0.009422772135845107
Gagea,0.019965944297121504
Tulipa,0.018004919861732808
Erythronium,0.0094121150996803
Amana,0.013667177386629587
Notholirion,0.020222388291306962
Cardiocrinum,0.014456850246239501
Fritillaria,0.025570749123026388
Lilium,0.015200276345487306
Nomocharis,0.017897817119040395
Alania,0.004901237996369925
Borya,0.005625267140545964
Blandfordia,0.00874095545401446
Milligania,0.008481229659791577
Neoastelia,0.006749657584823605
Astelia,0.008272210360363722
Collospermum,0.008576876667909487
Lanaria,0.01618708809526056
Empodium,0.011525940641656646
Molineria,0.013194828089579731
Pauridia,0.02130910624991567
Hypoxis,0.017520847449207788
Spiloxene,0.020739754127164826
Rhodohypoxis,0.01991161053125349
Ixiolirion,0.008994938582312963
Conanthera,0.013326495754780319
Tecophilaea,0.0074752450424950476
Zephyra,0.007480875336381595
Odontostomum,0.013931940595582799
Kabuyea,0.009810411763481606
Cyanastrum,0.012103769663278563
Walleria,0.009065354399195483
Cyanella,0.011234465531325922
Doryanthes,0.011817864016401579
Isophysis,0.0092020268074966
Alophia,0.01060894076208459
Patersonia,0.017891521262073124
Aristea,0.01846459116753934
Nivenia,0.011578165181946251
Klattia,0.007122083439550124
Witsenia,0.008610369418362688
Radinosiphon,0.015493461281714723
Tritoniopsis,0.03343049872435956
Xenoscapa,0.040144077800111005
Crocosmia,0.024904374341026093
Freesia,0.01706461712001908
Melasphaerula,0.04934698595876312
Lapeirousia,0.05498238167983237
Watsonia,0.045755264617821104
Pillansia,0.06756359347204108
Micranthus,0.05684958744335303
Thereianthus,0.06643099500547255
Savannosiphon,0.062080208235980865
Romulea,0.06204547904716899
Crocus,0.059509004630127864
Syringodea,0.051584893707360344
Geissorhiza,0.08271859797538782
Hesperantha,0.08291650878119626
Duthiastrum,0.07960135575405229
Sparaxis,0.0878951055943302
Dierama,0.13257263161108007
Tritonia,0.1030586201125489
Ixia,0.10933921381480229
Chasmanthe,0.07057098036024312
Babiana,0.08530311391515577
Gladiolus,0.014500551427853692
Diplarrena,0.020803393988001264
Trimezia,0.024071820271763984
Neomarica,0.02910118453222798
Cipura,0.052223832915786327
Calydorea,0.03615136868278759
Nemastylis,0.03702019229969975
Cypella,0.05226479168550701
Onira,0.03615506064484839
Herbertia,0.034919225812485
Ennealophus,0.05443146236969814
Eleutherine,0.036264514465236423
Gelasine,0.04417029927364599
Hesperoxiphion,0.052907937074774855
Tigridia,0.029975512941881867
Cobana,0.03627394607328665
Orthrosanthus,0.02226383358230806
Libertia,0.024951557289192648
Solenomelus,0.02837148407041172
Olsynium,0.021564244091738845
Sisyrinchium,0.02357838730652142
Dietes,0.02181956235438596
Bobartia,0.023204012268291774
Ferraria,0.01270180016210661
Moraea,0.01799414054943847
Iris,0.018749842371384315
Xeronema,0.010845636171718553
Xanthorrhoea,0.015476373890289039
Johnsonia,0.01504506055888145
Stawellia,0.014516349933408532
Corynotheca,0.014590598367000608
Caesia,0.013084199159527798
Simethis,0.010803539801393555
Hemerocallis,0.013481256558307597
Pasithea,0.01719561886531366
Geitonoplesium,0.01873044069464034
Dianella,0.018234845414060317
Phormium,0.02130877661468609
Herpolirion,0.014598336999434788
Stypandra,0.02025553522344688
Asphodeline,0.010003959535276382
Asphodelus,0.009750983565611838
Trachyandra,0.009282287308315294
Eremurus,0.007312988320678596
Kniphofia,0.013825148947725944
Bulbinella,0.016698445493813583
Bulbine,0.01131856643151086
Jodrellia,0.01049925565095004
Aloe,0.017679141105092302
Haworthia,0.021889960472915578
Astroloba,0.01493073246087804
Astroworthia,0.017832564764572754
Gasteria,0.022084022327233103
Chortolirion,0.024366969411215956
Leopoldia,0.0184077911708391
Tulbaghia,0.0151111672744729
Nothoscordum,0.016835099101076143
Solaria,0.012384498001376058
Gilliesia,0.012149715950912245
Leucocoryne,0.01418568560939566
Tristagma,0.0153118293851519
Ipheion,0.010313291825593516
Allium,0.017110040593365544
Agapanthus,0.02033585665737629
Amaryllis,0.02228737243498754
Boophone,0.024101731788156968
Crinum,0.027794296041704917
Nerine,0.02596505613258536
Brunsvigia,0.02893561589027253
Strumaria,0.02106747647869586
Hessea,0.02105909418111016
Proiphys,0.01252383352045128
Calostemma,0.017080840181580226
Haemanthus,0.02050643518416787
Cyrtanthus,0.023993446093810076
Clivia,0.021684833050643174
Cryptostephanus,0.025048088842607456
Apodolirion,0.02533703287638296
Gethyllis,0.017762360879191485
Scadoxus,0.02972774902217743
Chlidanthus,0.033540551848489523
Eustephia,0.06761725071946295
Hieronymiella,0.05722750995764465
Rauhia,0.0937737041916279
Phaedranassa,0.12065646170731782
Eucharis,0.1084097069656377
Stenomesson,0.09416183885108928
Caliphruria,0.12245038879093235
