species,RL.cat,TBL,pext,ED,EDGE
Campanula_glomerata,LC,1.13077,0.048580247655212495,1.188285238656431,0.05772719117896271
Wahlenbergia_hederacea,LC,7.7517005,0.08868155755978409,7.752746562879047,0.6875256405623764
Jasione_montana,LC,7.58819,0.06563134514755666,7.591949061444711,0.49826982919434665
Jasione_laevis,LC,7.58819,0.01434533909677995,7.60538807788748,0.1091018709399034
Campanula_rapunculus,LC,4.052246,0.04794897930522104,4.142189345369026,0.1986137511994065
Campanula_patula,LC,4.052246,0.06922601324544846,4.114544714075165,0.2848335268755573
Campanula_cochleariifolia,NT,1.0339645,0.12120399982618481,1.427596629610636,0.17303042164718954
Campanula_scheuchzeri,LC,1.0339645,0.09143825643310154,1.5557350414561786,0.1422536996626319
Campanula_persicifolia,LC,2.282317,0.04710970615289339,2.2823222106173966,0.10751952868840761
Phyteuma_spicatum,LC,1.401179,0.02073787022446379,1.4012381278974912,0.02905869444990877
Legousia_falcata,LC,1.147462,0.03970278729742187,1.1478358601624834,0.045572283008384354
Legousia_hybrida,LC,0.365605,0.015823232772792586,0.4333384296711752,0.006856814842083414
Legousia_speculum-veneris,LC,0.365605,0.08543168414281349,0.3781502498676598,0.03230601270521991
Menyanthes_trifoliata,LC,60.067181,0.007033606700500877,72.08245121455603,0.5069996118512289
Nymphoides_peltata,CR,60.067181,0.9718733561453229,60.154137479005264,58.462203477748
Atractylis_cancellata,LC,21.76023575,0.023766574545498523,21.76118309456957,0.51718878021533
Carlina_gummifera,LC,19.61779167,0.03645481345727745,19.621323826055377,0.7152916998636821
Carlina_vulgaris,LC,9.6558685,0.08031090213612022,9.82621606655017,0.7891522768890828
Carlina_salicifolia,VU,1.555751,0.31121959964319396,2.0405791760915357,0.6350682342234464
Carlina_lanata,LC,1.555751,0.05442755761347973,4.3280236772067795,0.23556375804367638
Calendula_arvensis,LC,29.06429147,0.057190491304066685,29.06429147,1.6622011085738946
Doronicum_pardalianches,LC,5.832301,0.05992033130354037,5.8323013971890045,0.3494734319816665
Pulicaria_dysenterica,LC,0.274698,0.0643386252254806,0.4378956565934093,0.028173604537429113
Pulicaria_vulgaris,LC,0.274698,0.07542795710256153,0.41390252400643723,0.031219821825399494
Allagopappus_canariensis,NT,2.382068,0.10626775167524134,2.384636902847317,0.2534100022273953
Carpesium_cernuum,VU,2.459654125,0.33796206382381866,2.459794437781566,0.8313172047750078
Inula_salicina,LC,1.267606167,0.04317056557131837,1.2772545752135915,0.055139802390524746
Inula_britannica,NT,0.57709025,0.09357393344766261,0.6344700488507578,0.05936985812569605
Inula_bifrons,CR,0.2982545,0.924372498489527,0.3271846014074539,0.3024404474703082
Inula_conyzae,LC,0.2982545,0.0829218012944924,0.6207534050176333,0.05147399050375176
Xeranthemum_cylindraceum,LC,1.0213855,0.05635414085567084,1.3962620130477232,0.0786851461547139
Xeranthemum_inapertum,LC,1.0213855,0.04512184390102844,1.4895809901070125,0.067212640913548
