ext_fraction,Genus,age,mean_age,richness,threatened_species,proportion_threatened,ev.dist,lambda_a,lambda_mean
int_ex,Kickxia,4.62010899999999,4.458806886674442,3,3,1,66.77767912068842,0.2377892574976288,0.24639153849685988
int_ex,Koeleria,0.308035999999938,0.30738137772341073,3,1,0.3333333333333333,63.455083927872984,3.56650615080163,3.5741016479426024
int_ex,Koelpinia,9.87082700000005,9.076725513849905,1,1,1,72.00523154609326,0,0
int_ex,Krascheninnikovia,19.265671,16.01366662511221,1,0,0,81.43874892120975,0,0
int_ex,Lactuca,20.4703480000001,16.780139085887924,5,5,1,82.6047157751803,0.07862288967603738,0.09591326413901036
int_ex,Lagoecia,12.3213060000001,11.052170765750084,1,1,1,74.45569703949448,0,0
int_ex,Lagurus,1.20641799999999,1.1961571127135981,1,1,1,64.35346504202204,0,0
int_ex,Lamarckia,1.08056000000005,1.0723525070834485,1,1,1,64.22760938474434,0,0
int_ex,Lamium,1.35174699999994,1.3388217714159367,4,3,0.75,63.50855792854435,1.0255575644850345,1.0354584835095315
int_ex,Laphangium,0.803733000000052,0.7992218972263097,1,1,1,62.938098828567504,0,0
int_ex,Lapiedra,8.55257699999999,7.96589612747257,1,1,1,71.35404578064993,0,0
int_ex,Lapsana,2.29296399999999,2.2549900993346492,1,1,1,64.42733683658126,0,0
int_ex,Laserpitium,6.82367200000011,6.4590187077978385,4,1,0.25,68.95806630671062,0.20315958345006443,0.21462925311645967
int_ex,Lathyrus,9.87188800000005,9.077606104109279,18,17,0.9444444444444444,71.96782973545653,0.29278814325042485,0.3184068271686455
int_ex,Launaea,4.53726100000005,4.381920490989472,5,5,1,66.67163572182984,0.3547157442417535,0.367290532939514
int_ex,Laurus,147.06522,33.851871181954095,1,1,1,208.53212233131487,0,0
int_ex,Lavandula,7.37378499999999,6.944561608474796,5,5,1,69.53060020764937,0.21826482768810082,0.23175514930561242
int_ex,Lavatera,2.3646730000001,2.3242252470508693,9,7,0.7777777777777778,64.45876288704147,0.9291874932965897,0.9453578477921636
int_ex,Legousia,8.86275800000006,8.23026820902544,3,3,1,70.99792323455907,0.12395828574672832,0.1334843848057533
int_ex,Lemna,82.97288,32.60761770287925,2,2,1,146.1679026372056,0.008353900461933409,0.021257216239343374
int_ex,Leontodon,2.10049700000005,2.0687618466437847,6,6,1,64.23487177454041,0.8530169142007878,0.8661023365907878
int_ex,Lepidium,11.085326,10.070423294143042,9,9,1,73.18526142916824,0.1982101904207616,0.21818592060714323
int_ex,Ligustrum,15.717379,13.595606857421005,1,1,1,77.87550737732943,0,0
int_ex,Limbarda,2.38207099999999,2.341010755154134,1,1,1,64.51655931659327,0,0
int_ex,Limonium,30.117926,21.987782561441122,17,9,0.5294117647058824,92.26893514834072,0.09407066555831953,0.12885398225761432
int_ex,Linaria,3.40693200000005,3.321173423037831,37,31,0.8378378378378378,65.56451120982899,1.0598737845792552,1.0872416018978521
int_ex,Linum,17.872612,15.093154342269289,11,11,1,79.96236636417673,0.13416591110456438,0.1588730373002892
int_ex,Lithospermum,5.18596600000005,4.980734638714428,1,0,0,67.35750234155687,0,0
int_ex,Lobelia,15.873108,13.706830483237646,1,0,0,78.00810914726736,0,0
int_ex,Lobularia,0.210741000000104,0.2104353486576935,2,2,1,62.310731515992195,3.289095052977841,3.2938723697388843
int_ex,Lolium,1.94476899999999,1.9176570722492607,4,4,1,65.09181712923687,0.7128324038072891,0.722910462554119
int_ex,Lonicera,63.8667810000001,30.91694274054416,8,7,0.875,126.00116412074854,0.03255904727184908,0.06725896409391338
int_ex,Lotus,1.44584000000011,1.4310208634405317,15,15,1,63.54190680659215,1.8729943846497568,1.8923904397811369
int_ex,Ludwigia,62.5240110000001,30.740151256205763,1,1,1,124.62582450826284,0,0
int_ex,Lupinus,4.74666299999999,4.576023539206336,5,5,1,66.84317120625765,0.33906723785406795,0.35171102129278836
int_ex,Luzula,32.309214,22.958389707971083,5,5,1,95.40299200171972,0.04981358916481535,0.07010238666152219
int_ex,Lycium,7.427079,6.99130090035434,2,2,1,69.58576268889891,0.09332702406423107,0.09914423516298869
int_ex,Lycopus,3.37926500000005,3.294939150024987,1,1,1,65.53608225835613,0,0
int_ex,Lygeum,6.00332499999994,5.72460135659411,1,1,1,69.15045978484359,0,0
int_ex,Lysimachia,19.2413990000001,15.997943353328097,2,1,0.5,81.40487859555483,0.03602374133813979,0.04332726809010409
int_ex,Lythrum,86.492894,32.7960329083955,8,8,1,148.5888554802477,0.024041761646683202,0.06340527671404783
int_ex,Malcolmia,5.40457900000005,5.180862211137438,3,3,1,67.50458311251748,0.20327435100275149,0.2120520183506123
int_ex,Malus,4.69476899999999,4.527992149289776,1,0,0,66.78436318108552,0,0
int_ex,Malva,2.3646730000001,2.3242252470508693,8,8,1,64.45876288704147,0.8793780542509462,0.8946815909165295
int_ex,Marrubium,0.674276999999936,0.6711119586123777,3,3,1,62.8310877902232,1.6293189426129233,1.6370029986347607
int_ex,Matricaria,2.72081899999999,2.666870274640326,2,2,1,64.85519153278817,0.2547568142386347,0.25991034777776295
int_ex,Matthiola,9.53100000000005,8.79356349764776,4,4,1,71.63097213042748,0.14545109234286888,0.1576487576954119
int_ex,Medicago,8.1201950000001,7.594316290545313,17,17,1,70.21613520830039,0.348909520529517,0.37307023248208376
int_ex,Melilotus,2.09288900000004,2.0613885058485555,9,8,0.8888888888888888,64.18882956755583,1.0498524180384996,1.065895424905238
int_ex,Mentha,3.14825599999999,3.075397751023316,5,5,1,65.30507249276735,0.5112157055951312,0.523326750791364
int_ex,Mesembryanthemum,56.7190520000001,29.855142342178546,1,1,1,118.88607677294377,0,0
