ext_fraction,Genus,age,mean_age,richness,threatened_species,proportion_threatened,rates
low_ex,Scolymus,5.24061100000034,5.042580525344352,3,0,0,0.06847010058396098
low_ex,Scorpiurus,7.85144516666684,7.4171975607323075,4,0,0,0.05306464970781316
low_ex,Scorzonera,14.9228795000003,13.444263993957067,9,1,0.1111111111111111,0.02318154288810313
low_ex,Scorzoneroides,7.19614100000034,6.82924297066105,10,1,0.1,0.043961648519315666
low_ex,Scrophularia,8.11894400000034,7.655688958157478,24,3,0.125,0.027028513470146884
low_ex,Scutellaria,9.38553576562534,8.773222613051804,4,0,0,0.07303512693330577
low_ex,Secale,0.582354666666837,0.5797997021335248,1,0,0,0.514078334987062
low_ex,Securigera,6.31611750000017,6.031244965660701,1,0,0,0.065417054741518793
low_ex,Sedum,9.25776100000023,8.661351723234427,31,3,0.0967741935483871,0.0176193966390416
low_ex,Selaginella,208.998509,79.52325208970676,2,0,0,0.001997006930671994
low_ex,Selinum,1.51939500000023,1.5021598108817784,2,1,0.5,0.1166516127299803
low_ex,Sempervivum,11.8730081250002,10.913489384176176,5,0,0,0.035840074905016686
low_ex,Senecio,20.937491784314,18.15822128426019,32,7,0.21875,0.05602519686355057
low_ex,Serratula,0.509998000000284,0.5080371117682421,1,0,0,0.6986643670886656
low_ex,Seseli,1.51939500000023,1.5021598108817784,11,3,0.2727272727272727,0.1029489040010983
low_ex,Sesleria,0.464777500000227,0.46314821305072346,3,2,0.6666666666666666,0.6674258961855376
low_ex,Setaria,0.288131750000341,0.2875045025686161,4,0,0,1.5383328498885491
low_ex,Sherardia,8.91250300000028,8.358100805400825,1,0,0,0.05986071764981563
low_ex,Sibbaldia,35.4986040000002,28.263810873696407,1,0,0,0.01217975755097102
low_ex,Sideritis,1.04468150000034,1.0364963015451738,38,8,0.21052631578947367,0.261001033971451
low_ex,Silaum,4.07193925000011,3.951094468538829,1,0,0,0.12117573529399517
low_ex,Silene,3.89655600000011,3.785716943178658,86,21,0.2441860465116279,0.049411399988210696
low_ex,Silybum,0.781019666666894,0.7764330247027464,2,0,0,0.38777164053693736
low_ex,Simethis,16.7269490000004,14.895462476622358,1,0,0,0.010803539801393555
low_ex,Sinapis,0.958205000000227,0.9513130568093672,4,0,0,0.26643610825800684
low_ex,Sisymbrium,4.19690500000023,4.068677291404747,12,1,0.08333333333333333,0.07586137932454065
low_ex,Sium,4.29338900000011,4.159317233633922,1,0,0,0.03803693612738722
low_ex,Smilax,80.5878872941179,51.07513822621763,1,0,0,0.009348304653734176
low_ex,Smyrnium,19.1313232142858,16.779305369741937,2,0,0,0.05530297120153692
low_ex,Solanum,4.38296050000023,4.243351504588053,3,0,0,0.0723493429226921
low_ex,Soldanella,11.3033515000002,10.429557858603223,3,2,0.6666666666666666,0.024724349429956743
low_ex,Solenanthus,3.10686375000017,3.0358773834406834,1,1,1,0.08822631430787914
low_ex,Solenopsis,8.04929500000028,7.593676626474546,1,0,0,0.04388791868432535
low_ex,Solidago,0.910741944444615,0.9045129898929344,1,0,0,0.8903624021098829
low_ex,Sonchus,14.2821528333337,12.920811975856472,12,3,0.25,0.04486852861311733
low_ex,Sorbus,9.43897797500028,8.81995590748303,9,2,0.2222222222222222,0.04978736106079359
low_ex,Sparganium,43.0293775000002,32.872981766189646,7,2,0.2857142857142857,0.006610124510175857
low_ex,Spartina,1.37601350000034,1.3618582135753907,2,0,0,0.159617054508796
low_ex,Spartium,3.04661800000034,2.9783193470263645,1,0,0,0.1944739836428876
low_ex,Spergula,13.6814790000002,12.426163971872024,5,1,0.2,0.023666895317590204
low_ex,Spergularia,13.6814790000002,12.426163971872024,15,1,0.06666666666666667,0.026739311240449017
low_ex,Spiraea,24.4573520000002,20.760571004058846,2,1,0.5,0.01716956438205552
low_ex,Spiranthes,5.62875550000028,5.401107791068949,2,0,0,0.03168793314917434
low_ex,Spirodela,67.3055810000002,45.43450148866802,2,1,0.5,0.007686716860367728
low_ex,Sporobolus,2.29997583333367,2.260775984573035,1,0,0,0.23398071400522572
low_ex,Stachys,1.39501850000034,1.380472158163924,14,2,0.14285714285714285,0.18849966772882268
low_ex,Staehelina,1.11999000000034,1.1105890100196316,2,0,0,0.10294468515317892
low_ex,Stellaria,11.2123485000002,10.351912580973288,8,0,0,0.052242790381953425
low_ex,Sternbergia,4.6068070000004004,4.452890828005854,2,0,0,0.031024633206961923
low_ex,Stipa,2.55582450000017,2.5075356341824895,11,0,0,0.23414894994140265
low_ex,Stoibrax,11.8671014000001,10.90849010151224,1,0,0,0.05651740510392267
low_ex,Streptopus,47.2044493181821,35.26995799466822,1,0,0,0.014203169659535862
low_ex,Suaeda,5.92953050000023,5.6775890883850115,7,1,0.14285714285714285,0.022958298304652933
low_ex,Subularia,2.07930400000034,2.047198079429624,1,0,0,0.07956118078419147
low_ex,Succisa,8.03529600000028,7.581205423300331,2,1,0.5,0.023372313361720548
low_ex,Succisella,8.03529600000028,7.581205423300331,3,3,1,0.024353993754720225
low_ex,Swertia,2.78644300000023,2.72917136699444,1,0,0,0.10765476152359711
low_ex,Symphytum,7.43666400000017,7.045661763968456,2,0,0,0.034435349271294366
low_ex,Taeniatherum,0.56731150000017,0.5648864731565841,1,0,0,0.513550137273198
low_ex,Tamarix,29.9392290000002,24.604508416150196,7,1,0.14285714285714285,0.00489470672036679
low_ex,Tanacetum,3.0098500000004,2.9431668923721213,6,2,0.3333333333333333,0.11312393937474399
low_ex,Taraxacum,12.4230950000003,11.377376661394983,73,15,0.2054794520547945,0.04048163424534217
low_ex,Taxus,73.5429675000003,48.17945994370652,1,0,0,0.002623386812876154
low_ex,Teesdalia,1.49061621428606,1.4740231576033214,2,0,0,0.5069578792949768
low_ex,Telephium,50.6049133055557,37.14439238549696,1,0,0,0.018743880549929478
low_ex,Tephroseris,0.476928500000284,0.4752131115932128,3,2,0.6666666666666666,0.23756456521035485
low_ex,Tetraclinis,24.7453715000003,20.968721987812483,1,1,1,0.010211272866275305
low_ex,Tetraena,34.7924268750003,27.811591712182818,1,1,1,0.014305982381266789
low_ex,Teucrium,9.45169500000029,8.831071539628272,70,9,0.12857142857142856,0.054126733756876794
low_ex,Thalictrum,26.5291600000003,22.242262881142217,13,2,0.15384615384615383,0.006974603897229237
low_ex,Thapsia,4.33166100000011,4.1952364558172945,5,0,0,0.04525842828096716
